app_guid,app_legacy_id,app_name,scan_url,scan_date,module
8e4595f4-d67b-493b-9055-e289e54e72a2,974265,veracode-onboard-app,StaticOverview:14212:974265:9422890:9398381:9414044,2020-10-28T18:08:53.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
d01a0baf-f888-4e67-85ab-4c35bc0bd4b7,980106,Cloudgoat,StaticOverview:14212:980106:9479267:9454754:9470417,2020-11-02T16:27:43.000Z,output.zip_htmlpythoncode.veracodegen.htmla.pya
ab627ef6-6776-4382-9798-833397077059,997026,verademo-python-1,StaticOverview:14212:997026:9959012:9934204:9949867,2020-12-09T19:08:16.000Z,verademo-python.zip_htmlpythoncode.veracodegen.htmla.pya
ab627ef6-6776-4382-9798-833397077059,997026,verademo-python-1,StaticOverview:14212:997026:9959012:9934204:9949867,2020-12-09T19:08:16.000Z,verademo-python.zip_htmljscode.veracodegen.htmla.jsa
072485dc-2761-482d-9649-3c373005f610,1001371,veracode-pipeline-script-template,StaticOverview:14212:1001371:9748523:9723998:9739661,2020-11-23T20:31:10.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
287786be-2f8b-4bd3-bcb1-182a986a9bdd,1001375,veracode-to-csv,StaticOverview:14212:1001375:9748686:9724161:9739824,2020-11-23T20:45:11.000Z,project.zip_htmlpythoncode.veracodegen.htmla.pya
4c564faf-4705-4d36-abd9-9aaa30bdb4c0,1010498,VeraDemo-1,StaticOverview:14212:1010498:9938709:9914104:9929767,2020-12-08T14:39:03.000Z,verademo.war
4c564faf-4705-4d36-abd9-9aaa30bdb4c0,1010498,VeraDemo-1,StaticOverview:14212:1010498:9938709:9914104:9929767,2020-12-08T14:39:03.000Z,verademo.war_htmljscode.veracodegen.htmla.jsa
cc265adf-20c6-4d45-b2fc-04ce605d0a16,1015146,railsgoat-1,StaticOverview:14212:1015146:9938891:9914286:9929949,2020-12-08T14:51:18.000Z,veracode-railsgoat-20201207132735.rbv
91820c8c-cabe-4563-a4da-687a244b30ca,1015667,FlowBot.NET-1,StaticOverview:14212:1015667:9938715:9914110:9929773,2020-12-08T14:40:03.000Z,FlowBlot.exe
e00886ff-806a-4682-adb4-f3227741fcec,1015709,BlogEngine.NET-1,StaticOverview:14212:1015709:9938719:9914114:9929777,2020-12-08T14:42:16.000Z,App_Code.dll
763526f9-a3b7-41e5-aefb-5692c7ea47ce,1015710,Apache-1,StaticOverview:14212:1015710:9938723:9914118:9929781,2020-12-08T14:52:12.000Z,httpd
1e57bc21-e896-4cfc-812e-20fbb3a83b00,1015712,Hadoop-1,StaticOverview:14212:1015712:9938726:9914121:9929784,2020-12-08T14:42:28.000Z,hadoop-0.9.1.jar
6fd5bec9-9855-4d08-9889-4593ed88f2cd,1015713,DVWA-1,StaticOverview:14212:1015713:9938730:9914125:9929788,2020-12-08T14:47:33.000Z,PHP files within DVWA-1.0.7.zip
6fd5bec9-9855-4d08-9889-4593ed88f2cd,1015713,DVWA-1,StaticOverview:14212:1015713:9938730:9914125:9929788,2020-12-08T14:47:33.000Z,DVWA-1.0.7.zip_htmljscode.veracodegen.htmla.jsa
c0d04984-112b-44b9-a4dd-1a2db10d50fb,1015714,Galleon-1,StaticOverview:14212:1015714:9938735:9914130:9929793,2020-12-08T14:51:26.000Z,galleon-2.2.0.war_htmljscode.veracodegen.htmla.jsa
c0d04984-112b-44b9-a4dd-1a2db10d50fb,1015714,Galleon-1,StaticOverview:14212:1015714:9938735:9914130:9929793,2020-12-08T14:51:26.000Z,galleon-2.2.0.war
8b2ed564-a95a-4a9d-9a0c-292697c0ade6,1015717,HSQLdb-1,StaticOverview:14212:1015717:9938749:9914144:9929807,2020-12-08T14:48:33.000Z,hsqldb.jar
bb645504-acd5-4e3c-acd4-846e78353c26,1015718,Lunar Lander-1,StaticOverview:14212:1015718:9938757:9914152:9929815,2020-12-08T14:47:22.000Z,LunarLander.apk
ae956cd9-770b-416d-ab54-b90bd43105be,1015719,Metamail-1,StaticOverview:14212:1015719:9938762:9914157:9929820,2020-12-08T14:48:53.000Z,metamail.dwarf2
ff4dc42b-c501-4e56-bee3-bd52b5fdde9b,1015721,OpenSSH-1,StaticOverview:14212:1015721:9938765:9914160:9929823,2020-12-08T14:56:47.000Z,sshd
cbea414a-71bb-44a8-9a24-71277717b585,1015722,Roller-1,StaticOverview:14212:1015722:9938771:9914166:9929829,2020-12-08T14:51:39.000Z,roller-orig.war
